Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF 25V,C_0402_1005Metric,42.875200,-55.016400,180.000000,top
C2,1uF 25V,C_0402_1005Metric,42.875200,-67.208400,180.000000,top
C3,1uF 25V,C_0402_1005Metric,42.062400,-45.161200,0.000000,top
C4,1uF 25V,C_0402_1005Metric,41.656000,-57.150000,0.000000,top
C5,1uF 25V,C_0402_1005Metric,38.912800,-45.161200,180.000000,top
C6,1uF 25V,C_0402_1005Metric,38.912800,-57.150000,180.000000,top
C7,1uF 25V,C_0402_1005Metric,42.570400,-46.228000,0.000000,top
C8,1uF 25V,C_0402_1005Metric,42.570400,-58.166000,0.000000,top
C9,1uF 25V,C_0402_1005Metric,36.423600,-46.075600,180.000000,top
C10,1uF 25V,C_0402_1005Metric,36.525200,-58.267600,180.000000,top
C11,100nF,C_0402_1005Metric,70.292100,-57.101200,90.000000,top
C12,1uF 25V,C_0402_1005Metric,68.056900,-55.727600,-90.000000,top
C13,22pF,C_0402_1005Metric,47.607300,-60.350400,180.000000,top
C14,22pF,C_0402_1005Metric,47.607300,-56.692800,180.000000,top
C15,10µF,C_0603_1608Metric,70.612000,-62.446500,-90.000000,top
C16,10µF,C_0603_1608Metric,72.358800,-62.446500,-90.000000,top
C17,10µF,C_0603_1608Metric,70.713600,-51.663900,-90.000000,top
D1,IR link,LED_0603_1608Metric,36.525200,-69.037200,0.000000,top
D2,BAV99,SOT-23,46.888400,-49.479200,180.000000,top
Q1,2N7002,SOT-23,51.889900,-49.530000,180.000000,top
R1,10k,R_0402_1005Metric,69.174500,-56.034400,-90.000000,top
R2,10k,R_0402_1005Metric,68.666500,-57.710800,180.000000,top
R3,10k,R_0402_1005Metric,39.192200,-69.037200,180.000000,top
R4,10R,R_1206_3216Metric,77.311800,-61.623000,90.000000,top
R5,10R,R_1206_3216Metric,74.726800,-61.623000,90.000000,top
R6,4.7R,R_0805_2012Metric,68.173600,-52.171900,0.000000,top
R7,10k,R_0402_1005Metric,45.466000,-51.765200,180.000000,top
R8,100k,R_0402_1005Metric,49.377600,-48.768000,-90.000000,top
R9,10k,R_0402_1005Metric,65.938400,-50.495200,-90.000000,top
U1,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,38.963600,-50.546000,180.000000,top
U2,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,38.963600,-62.636400,180.000000,top
U3,MCP2155,SOIC-18W_7.5x11.6mm_P1.27mm,59.471700,-56.438800,90.000000,top
U4,TFDU4301,TFDU4301,76.286500,-54.152800,-90.000000,top
Y1, 11.0592 MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,50.683300,-58.521600,-90.000000,top
